job_id,mode,task_dir,epochs,validate,early_stop,params
job-classification-bs32-train,train,tasks/classification,10,true,"{""enabled"":true,""patience"":3,""monitor"":""accuracy"",""mode"":""max""}","{""_variant"":""bs32""}"
job-classification-bs32-evaluate,evaluate,tasks/classification,,,,"{""_variant"":""bs32""}"
job-classification-bs32-predict,predict,tasks/classification,,,,"{""_variant"":""bs32""}"
job-classification-bs16-train,train,tasks/classification,10,true,"{""enabled"":true,""patience"":3,""monitor"":""accuracy"",""mode"":""max""}","{""_variant"":""bs16"",""data"":{""batch_size"":16}}"
job-classification-bs16-evaluate,evaluate,tasks/classification,,,,"{""_variant"":""bs16"",""data"":{""batch_size"":16}}"
job-classification-bs64_resnet34-train,train,tasks/classification,10,true,"{""enabled"":true,""patience"":3,""monitor"":""accuracy"",""mode"":""max""}","{""_variant"":""bs64_resnet34"",""data"":{""batch_size"":64},""model"":{""backbone"":""resnet34""}}"
job-classification-efficientnet_mock-train,train,tasks/classification,10,true,"{""enabled"":true,""patience"":3,""monitor"":""accuracy"",""mode"":""max""}","{""_variant"":""efficientnet_mock"",""model"":{""name"":""efficientnet_mock"",""backbone"":""efficientnet_b0""}}"
job-classification-efficientnet_mock-evaluate,evaluate,tasks/classification,,,,"{""_variant"":""efficientnet_mock"",""model"":{""name"":""efficientnet_mock"",""backbone"":""efficientnet_b0""}}"
job-classification-efficientnet_mock-predict,predict,tasks/classification,,,,"{""_variant"":""efficientnet_mock"",""model"":{""name"":""efficientnet_mock"",""backbone"":""efficientnet_b0""}}"
job-classification-focal_loss-train,train,tasks/classification,10,true,"{""enabled"":true,""patience"":3,""monitor"":""accuracy"",""mode"":""max""}","{""_variant"":""focal_loss"",""loss"":{""name"":""focal_loss"",""gamma"":2.0}}"
job-classification-focal_loss-evaluate,evaluate,tasks/classification,,,,"{""_variant"":""focal_loss"",""loss"":{""name"":""focal_loss"",""gamma"":2.0}}"
job-classification-focal_loss-predict,predict,tasks/classification,,,,"{""_variant"":""focal_loss"",""loss"":{""name"":""focal_loss"",""gamma"":2.0}}"
job-segmentation-bs32-evaluate,evaluate,tasks/segmentation,,,,"{""_variant"":""bs32""}"
job-detection-bs32-train,train,tasks/detection,10,true,,"{""_variant"":""bs32""}"
job-detection-bs32-predict,predict,tasks/detection,,,,"{""_variant"":""bs32""}"
job-anomaly_detection-bs32-train,train,tasks/anomaly_detection,10,false,,"{""_variant"":""bs32""}"
job-anomaly_detection-bs32-evaluate,evaluate,tasks/anomaly_detection,,,,"{""_variant"":""bs32""}"
job-anomaly_detection-bs32-predict,predict,tasks/anomaly_detection,,,,"{""_variant"":""bs32""}"
